run,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,auroc,model_type,optimizer_n_iter,optimizer_converged,scoring_model,decision_threshold
entropy/val,0.9430284857571214,0.9434329596928215,0.943020979020979,0.9430148087453536,0.9430152499392814,0.9765204795204795,entropy_base,37.0,1.0,distilgpt2,
lexical_svm/val,0.9430284857571214,0.9435472739820565,0.9430199800199801,0.9430110503310702,0.9430115484861002,0.9723176823176822,,,,,
rag/compare/val,0.7756121939030485,0.7869572316082187,0.7756618381618381,0.7733934423376532,0.7733822365216663,0.7910469530469529,,,,,-1.1392925907675924
